Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;Aanlegsteiger;In het water uitstekende brug of pier, smaller dan 2 meter, gebruikt om personen en goederen aan wal te brengen;;01-09-2014;
2;baak;Markering van de loop van de vaargeul.;;01-09-2014;
3;bomenrij;Aantal bomen die in een rij staan, waarbij de onderlinge afstand tussen de bomen zodanig is dat de bomenrij tot manshoogte geen zichtbelemmering vormt;;01-09-2014;
4;boom;Houtachtig gewas met een enkele, stevige, houtige en overblijvende stam, die zich op een zekere hoogte boven de grond vertakt.;;01-09-2014;
5;botenhelling;Voorziening om boten uit of in het water te helpen;;01-09-2014;
6;busstation;Een plaats waar verschillende buslijnen samenkomen en waar meerdere bushaltes aanwezig zijn, met het doel dat buspassagiers hier kunnen in-, uit- of overstappen.;;01-09-2014;
7;calamiteitendoorgang;Doorgang in de verkeersgeleider in de middenberm die hulpdiensten doorgang moet verlenen voor het bestrijden van calamiteiten;;01-09-2014;
8;dukdalf;In het water geplaatste, zware al dan niet  metalen paal of constructie, dienend tot bescherming van bruggen en sluizen;;01-09-2014;
9;gaswinning;Installatie t.b.v. de winning of transport van aardgas.;;01-09-2014;
10;gedenkteken, monument;Topografisch object ter nagedachtenis van een belangrijke persoon of gebeurtenis.;;01-09-2014;
11;geluidswering;Constructie ten behoeve van het terugdringen van geluidsoverlast.;;01-09-2014;
12;golfmeetpaal;Paal uitgerust met instrumenten t.b.v. het doen van waarnemingen betreffende golfbewegingen.;;01-09-2014;
13;GPS kernnetpunt;Punt geschikt voor GPS metingen. (Kan een steen of bout zijn).;;01-09-2014;
14;grenspunt;Aanduiding van een grensscheiding;;01-09-2014;
15;heg, haag;Rij bomen, al of niet in combinatie met struiken, waarbij de onderlinge afstand of onderbegroeiing zodanig is dat tot minstens manshoogte het zicht belemmerd wordt. Maximale inplantbreedte van de stammen: 3 meter. / Een rij naast elkaar geplante struiken (liguster, haagdoorn, coniferen, haagbeuk, e.d.) die op gezette tijden worden geschoren. Minimale hoogte 1 meter,  minimumlengte: 100 meter.;;01-09-2014;
16;hekwerk;Begrenzing van een terrein in de vorm van een afrastering;;01-09-2014;
17;helikopterlandingsplatform;Platform dat als landings- en vertrekplaats dient voor helikopters;;01-09-2014;
18;hoogspanningsleiding;Leiding waarop elektrische spanning van meer dan 500 volt staat.;;01-09-2014;
19;hoogspanningsmast;Mast van een hoogspanningsleiding;;01-09-2014;
20;hunebed;Voorhistorische begraafplaats, bestaande uit opgestapelde, reusachtige stenen;;01-09-2014;
21;kaap;Gestel van balken met een daartegen aangebracht scherm van latten of ribben, dat als baak op het land dienst doet voor de zeevaart.;;01-09-2014;
22;kabelbaan;Kabel waaraan stoeltjes hangen;;01-09-2014;
23;kabelbaanmast;Mast van een kabelbaan;;01-09-2014;
24;kilometerpaal;Paal waarop de kilometrering van een weg wordt aangegeven;;01-09-2014;
25;kilometerpaal spoorweg;Paal waarop de kilometrering van een spoorweg wordt aangegeven;;01-09-2014;
26;kilometerpaal water;Paal waarop de kilometrering van een water wordt aangegeven.;;01-09-2014;
27;kilometerraaibord;Bord op de oever van een rivier, met daarop vermeld het aantal gehele kilometers van de betreffende kilometerraai. Een kilometerraai is een lijn loodrecht op de lengteas van een rivier, gedacht op onderlinge afstand van 1 kilometer als indeling van het traject.;;01-09-2014;
28;kilometerraaipaal;Paal, meestal geplaatst tegenover een kilometerraaibord, op de andere oever van de rivier.;;01-09-2014;
29;koedam;Onderbreking van een waterloop, door middel van demping, al dan niet met een doorlaatbuis;;01-09-2014;
30;kogelvanger schietbaan;Zandheuvel of ander voorwerp achter de schietschijf op een schietbaan, die de afgevuurde kogels opvangt.;;01-09-2014;
31;kraan;Hijswerktuig om zware voorwerpen op te tillen en te verplaatsen.;;01-09-2014;
32;kruis;Object tot bezinning en/of verering in de vorm van een kruis of heiligenbeeld.;;01-09-2014;
33;leiding;Koker, buis, draad enz. waardoor of waarlangs een stof of kracht geleid wordt;;01-09-2014;
34;luchtvaartlicht;Navigatielicht t.b.v. de luchtvaart;;01-09-2014;
35;markant object;Een object dat vanuit de wijde omgeving zichtbaar is en/of een oriënterende waarde heeft;;01-09-2014;
36;metrostation;Halteplaats voor een onder- of bovengronds metronetwerk;;01-09-2014;
37;muur;Relatief smal, rechtopstaand bouwwerk;;01-09-2014;
38;oliepompinstallatie;Productie-installatie om olie uit de grond te pompen.;;01-09-2014;
39;paal;Stevig, langwerpig, rechtop in de grond geplaatst merkteken ter afbakening. / Kilometrering van een dijklichaam;;01-09-2014;
40;paalwerk;Palissade, omheining van in de grond geslagen palen of staken ten behoeve van landaanwinning;;01-09-2014;
41;peilschaal;Lat met schaalverdeling voor het aflezen van de waterhoogte in een water.;;01-09-2014;
42;pijler;Zuil die een bouwconstructie ondersteunt.;;01-09-2014;
43;plaatsnaambord;Bord dat de naam weergeeft van een bewoond oord;;01-09-2014;
44;radiobaken;Radiozendstation op een vliegveld of langs een luchtroute, dat dient als hulpmiddel om de koers voor vliegtuigen te bepalen.;;01-09-2014;
45;radiotelescoop;Instrument waarmee men radiogolven uit de kosmische ruimte kan opvangen.;;01-09-2014;
46;RD punt;Getrianguleerd punt.;;01-09-2014;
47;scheepvaartlicht;Licht dat dient voor de ondersteuning bij het navigeren van schepen;;01-09-2014;
48;schietbaan;Baan ingericht voor het schieten naar een doel;;01-09-2014;
49;seinmast;Mast waarin seinen worden gehesen.;;01-09-2014;
50;sluisdeur;Beweegbare waterkering van een (schut)sluis;;01-09-2014;
51;sneltramhalte;Halte aan een sneltramlijn;;01-09-2014;
52;stormvloedkering;Waterkering, bedoeld om bij extreem hoge waterstanden water af te sluiten ter bescherming van het achter de kering gelegen land;;01-09-2014;
53;strandpaal;Paal op het strand of in de duinen, geplaatst als hulpmiddel bij het uitvoeren van metingen;;01-09-2014;
54;strekdam, krib, golfbreker;Dam in de richting van de loop van de rivier of kanaal, ter beveiliging van de oevers of brugpijlers of tot beperking van de rivier tot een bepaalde breedte (strekdam). Golfslabreker of stroombreker langs de kust en in revieren, staat loodrecht op de oeverkust (krib). Een uit steenglooing of stortsteen betsaand object, bedoelt voor oeverbescherming (golfbrker);;01-09-2014;
55;stuw;Vaste of beweegbare constructie die dient om de waterstand bovenstrooms van de constructie te regelen;;01-09-2014;
56;tol;Plaats waar men tol moet betalen;;01-09-2014;
57;treinstation;Halte aan een spoorlijn;;01-09-2014;
58;verkeersgeleider;Obstakel op een weg om het verkeer in goede banen te leiden;;01-09-2014;
59;vlampijp;Affakkelinstallatie.;;01-09-2014;
60;vliedberg;Verhoging in het terrein ter bescherming van de daarop geplaatste bebouwing tegen hoogwater;;01-09-2014;
61;wegafsluiting;Een fysieke permanente of tijdelijke barrière in of dwars over een weg voor tenminste een gedeelte van de gebruikers van die weg. (b.v paaltjes, slagboom, toegangshek, etc.);;01-09-2014;
62;wegwijzer;Richtingaanduiding.;;01-09-2014;
63;windmolentje;Een vrij op de wind draaiend molentje (met wieken of een rad van schoepen) van metaal en/of kuststof, bestemd voor het bemalen van een sloot. / Klein type molen, herkenbaar aan schuin op een stellage geplaatste wieken, bestemd voor het bemalen van het omliggende terrein (tjasker).;;01-09-2014;
64;zendmast;Telecommunicatietoren (toren t.b.v. datacommunicatie). / Zendtoren (toren met een zendantenne) / Zend- en/of ontvangstmast (hoge, open constructie t.b.v. het uitzenden en/of ontvangen van beeld- en/of geluidssignalen).;;01-09-2014;
65;zichtbaar wrak;Wrak van vergaan schip dat (deels) boven water uitsteekt.;;01-09-2014;
66;overig;Het type inrichtingselement is bekend, maar anders dan de genoemde waarden;;01-09-2014;
