"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","startbaan, landingsbaan","Strook grond waar vliegtuigen kunnen opstijgen en/of landen.","","01-09-2014",""
"2","rolbaan, platform","Afgebakende taxibaan op een vliegveld (rolbaan). / Terrein voor geparkeerd staande vliegtuigen (platform).","","01-09-2014",""
"3","autosnelweg","Weg met gescheiden rijbanen en ongelijkvloerse kruisingen, daartoe aangeduid met het betreffende verkeersbord.","","01-09-2014",""
"4","hoofdweg","Verharde weg die is aangeduid met een E-nummer, maar niet met een A-nummer, of verharde weg die onderdeel is van een verbindingsroute tussen grotere plaatsen, wat blijkt uit blauwe ANWB-borden, dan wel onderdeel is van een route om eindigende A of E-routes tot een gesloten netwerk te completeren.","","01-09-2014",""
"5","regionale weg","Verharde weg die een verbinding vormt tussen bewoonde oorden of grote stadswijken, en daartoe van twee kanten bewegwijzerd zijn met blauwe ANWB-richtingsborden voor autoverkeer.","","01-09-2014",""
"6","lokale weg","Weg van lokaal belang tussen bewegwijzerde routes.","","01-09-2014",""
"7","straat","Weg van zeer plaatselijk belang, gelegen binnen bebouwd gebied.","","01-09-2014",""
"8","veerverbinding","Vastgelegde route over water om voertuigen en personen over te zetten al dan niet op basis van een vaste dienstregeling.","","01-09-2014",""
"9","parkeerplaats","Parkeergelegenheid voor meerdere voertuigen in de openlucht.","","01-09-2014",""
"10","parkeerplaats: carpool","Parkeerplaats voor personenwagens langs doorgaande wegen t.b.v. carpoolers.","","01-09-2014",""
"11","parkeerplaats: P+R","Parkeergelegenheid ten behoeve van het overstappen op het openbaar vervoer.","","01-09-2014",""
"12","overig","De waarde van het objectkenmerk is bekend, maar anders dan de genoemde waarden.","","01-09-2014",""